**NO**,**LINK**,**NAME**,**DESCRIPTION**,**PATH**,**DIFFICULTY**,**ROOM TYPE**,**SUBSCRIPTION TYPE**,**DURATION**,**CREATED DATE**,**TOOL TYPES**,**SPECIFIC TOOLS**,**COLOR**,**TARGET SYSTEMS**
1,https://tryhackme.com/r/room/crackthehash,Crack the hash,Cracking hashes challenges,,Easy,CTF,Free,0,18.11.2018,Password Cracking Tools,-,Red,Linux
2,https://tryhackme.com/r/room/mrrobot,Mr Robot CTF,"Based on the Mr. Robot show, can you root this box?",Offensive Pentesting,Medium,Walkthrough,Free,30,27.11.2018,"Network Scanning Tools, Web Scanning Tools, Encoding/Decoding Tools, Privilege Escalation Techniques and Tools, Scripting and Automation Tools",-,Red,"Linux, Web"
3,https://tryhackme.com/r/room/goldeneye,GoldenEye,"Bond, James Bond. A guided CTF.",,Medium,CTF,Free,0,08.02.2019,"Vulnerability Assessment Tools, Password Cracking Tools, Web Application Security Tools, Encoding/Decoding Tools, Privilege Escalation Techniques and Tools, Scripting and Automation Tools, Forensics Tools, Exploit Tools, Network Scanning Tools, Hashing Tools, Traffic Analysis Tools, Email Tools.",-,Red,"Linux, Web, Mail"
4,https://tryhackme.com/r/room/jurassicpark,Jurassic Park,A Jurassic Park CTF,,Hard,CTF,Premium,90,17.02.2019,,,,
5,https://tryhackme.com/r/room/heartbleed,HeartBleed,SSL issues are still lurking in the wild! Can you exploit this web servers OpenSSL?,,Easy,CTF,Premium,60,12.03.2019,Penetration Testing Tools,-,Red,"Linux, Web"
6,https://tryhackme.com/r/room/investigatingwindows,Investigating Windows,"A windows machine has been hacked, its your job to go investigate this windows machine and find clues to what the hacker might have done.",Cyber Defense,Easy,Walkthrough,Free,0,12.03.2019,OS Terminal Tools,-,Blue,Windows
7,https://tryhackme.com/r/room/ultratech1,UltraTech,"The basics of Penetration Testing, Enumeration, Privilege Escalation and WebApp testing",,Medium,CTF,Free,0,22.03.2019,,,,
8,https://tryhackme.com/r/room/toolsrus,ToolsRus,"Practise using tools such as dirbuster, hydra, nmap, nikto and metasploit",,Easy,CTF,Premium,0,29.03.2019,"Web Scanning Tools, Password Cracking Tools, Network Scanning Tools, Penetration Testing Tools","dirbuster, Hydra, Nmap, Nikto, Metasploit",Red,"Linux, Web"
9,https://tryhackme.com/r/room/ohsint,OhSINT,Are you able to use open source intelligence to solve this challenge?,,Easy,Walkthrough,Free,60,12.04.2019,OSINT Techniques and Tools,-,Blue,-
10,https://tryhackme.com/r/room/forensics,Forensics,"This is a memory dump of compromised system, do some forensics kung-fu to explore the inside.",,Hard,CTF,Free,0,04.05.2019,,,,
